1,虞,穆,13323304348,ym@datapipeline.com,active    ,1982-02-03,山西省
2,巩,凤于,13566374091,gfy@datapipeline.com,current   ,1997-08-31,山西省
3,饶,易,18610596501,ry@datapipeline.com,active    ,1988-11-17,河北省
4,聂,惠,15325747314,nh@datapipeline.com,current   ,1987-09-07,河北省
5,融,束乜,15686977952,rsm@datapipeline.com,inactive  ,1998-04-12,天津市
6,石,黄逑,18391094186,shq@datapipeline.com,inactive  ,1998-07-24,北京市
7,锺,冀,15391071707,zj@datapipeline.com,current   ,1986-11-22,天津市
8,从,阚赖,15743242315,ckl@datapipeline.com,current   ,1999-05-16,河北省
9,唐,师巩,15764027899,tsg@datapipeline.com,inactive  ,1980-06-08,河北省
10,卫,莘辛,15857302797,wxx@datapipeline.com,active    ,1983-07-13,天津市
11,宋,乔,15481262487,sq@datapipeline.com,current   ,1997-08-30,河北省
12,贡,贝施,18416485776,gbs@datapipeline.com,active    ,1993-06-21,天津市
13,须,丁,15555318966,xd@datapipeline.com,inactive  ,1986-06-14,天津市
14,祁,居莘,13791806737,qjx@datapipeline.com,inactive  ,1990-04-17,天津市
15,毋,谢,13210004442,wx@datapipeline.com,current   ,1983-12-29,河北省
16,益,都金,18282447896,ydj@datapipeline.com,active    ,1990-02-16,北京市
17,巴,应郝,15926089246,byh@datapipeline.com,inactive  ,1997-08-01,北京市
18,阴,安,18424804603,ya@datapipeline.com,inactive  ,1989-02-18,天津市
19,文,季,13156371265,wj@datapipeline.com,current   ,1988-04-24,山西省
20,蒋,浦,13913794723,jp@datapipeline.com,active    ,1991-09-26,天津市
21,须,陈郝,13331101188,xch@datapipeline.com,current   ,1985-03-27,北京市
22,游,包易,18929598004,yby@datapipeline.com,inactive  ,1998-11-08,山西省
23,胥,殷赖,18661291188,xyl@datapipeline.com,inactive  ,1987-03-14,河北省
24,滑,辛裴,18394357991,hxp@datapipeline.com,active    ,1995-11-20,北京市
25,伍,雍劳,18747754210,wyl@datapipeline.com,active    ,1985-08-31,山西省
26,任,储晏,18369484424,rcy@datapipeline.com,inactive  ,1994-10-28,山西省
27,聂,郑,13674914721,nz@datapipeline.com,inactive  ,1989-11-22,北京市
28,慕,蔡,18492239669,mc@datapipeline.com,inactive  ,1986-01-31,天津市
29,惠,桓,18681383000,hh@datapipeline.com,inactive  ,1988-07-16,河北省
30,沙,屈平,15349927889,sqp@datapipeline.com,inactive  ,1998-04-10,河北省
31,茹,纪籍,13478122824,rjj@datapipeline.com,inactive  ,1980-02-21,山西省
32,印,花钮,15383659995,yhn@datapipeline.com,active    ,1987-04-05,天津市
33,瞿,瞿,15836817951,jj@datapipeline.com,current   ,1989-08-14,天津市
34,卫,贺廉,18278314657,whl@datapipeline.com,active    ,1991-04-16,北京市
35,祁,倪,13583023855,qn@datapipeline.com,inactive  ,1982-07-29,河北省
36,党,祖裴,13979743328,dzp@datapipeline.com,active    ,1991-09-21,河北省
37,宿,连,13330354466,sl@datapipeline.com,inactive  ,1987-08-31,北京市
38,羊,洪,13864871685,yh@datapipeline.com,inactive  ,1988-07-12,天津市
39,巫,逑,18722689421,wq@datapipeline.com,inactive  ,1987-07-08,天津市
40,许,刘东,18445836999,xld@datapipeline.com,current   ,1983-11-22,天津市
41,殷,曹庄,15260336651,ycz@datapipeline.com,inactive  ,1983-03-18,山西省
42,幸,史房,13786826828,xsf@datapipeline.com,inactive  ,1988-08-29,天津市
43,桓,敖阎,15781898235,hay@datapipeline.com,inactive  ,1993-09-10,北京市
44,杭,薛,13145475832,hx@datapipeline.com,active    ,1989-09-08,北京市
45,冷,熊,15634901027,lx@datapipeline.com,current   ,1981-12-31,天津市
46,安,云,18958126156,ay@datapipeline.com,active    ,1980-07-16,天津市
47,万,马柴,15383007558,wmc@datapipeline.com,current   ,1986-10-06,河北省
48,羊,蓟慕,18282428358,yjm@datapipeline.com,current   ,1981-08-08,山西省
49,宦,夏盛,15730701872,hxs@datapipeline.com,inactive  ,1998-08-31,河北省
50,武,莘干,13551996530,wxg@datapipeline.com,inactive  ,1989-04-10,河北省
51,冷,阚庞,13744146873,lkp@datapipeline.com,active    ,1996-10-27,北京市
52,冀,权段,13356626960,jqd@datapipeline.com,inactive  ,1998-12-11,天津市
53,时,璩,18182905144,sq@datapipeline.com,inactive  ,1991-07-17,北京市
54,益,姜谷,13345223231,yjg@datapipeline.com,current   ,1996-01-12,河北省
55,咸,贾逄,15627831087,xjp@datapipeline.com,inactive  ,1982-03-09,河北省
56,别,娄红,13610839607,blh@datapipeline.com,inactive  ,1980-04-03,河北省
57,贺,吕,13933763320,hl@datapipeline.com,inactive  ,1987-05-21,北京市
58,焦,訾瞿,18515374349,jzj@datapipeline.com,inactive  ,1998-12-10,天津市
59,赖,姬,13218602787,lj@datapipeline.com,active    ,1985-03-18,河北省
60,查,劳,15398981001,cl@datapipeline.com,current   ,1991-05-06,北京市
61,奚,栾宫,13813655277,xlg@datapipeline.com,active    ,1999-02-15,天津市
62,麻,梁,18523294861,ml@datapipeline.com,current   ,1990-06-26,山西省
63,茅,那,18192448181,mn@datapipeline.com,inactive  ,1982-02-21,天津市
64,滑,乌,15729117905,hw@datapipeline.com,inactive  ,1988-03-09,北京市
65,靳,戎,15360988821,jr@datapipeline.com,inactive  ,1984-08-21,河北省
66,农,查,13594915585,nc@datapipeline.com,inactive  ,1987-05-13,山西省
67,闽,卓於,13160231730,mzy@datapipeline.com,active    ,1998-10-05,北京市
68,沙,凤,18697558225,sf@datapipeline.com,inactive  ,1985-08-01,天津市
69,仲,谢贲,15414514009,zxb@datapipeline.com,active    ,1983-12-18,北京市
70,祖,牧,15424779282,zm@datapipeline.com,inactive  ,1990-02-05,北京市
71,皮,蓟管,15996272016,pjg@datapipeline.com,active    ,1998-10-06,山西省
72,訾,寿,15159276458,zs@datapipeline.com,active    ,1995-02-12,北京市
73,武,璩,15736485884,wq@datapipeline.com,current   ,1989-07-23,山西省
74,廖,魏权,18145671666,lwq@datapipeline.com,inactive  ,1999-10-08,天津市
75,郑,衡,18218714587,zh@datapipeline.com,inactive  ,1998-05-25,北京市
76,那,艾沙,18995368065,nas@datapipeline.com,inactive  ,1996-08-07,山西省
77,谢,养,13124089911,xy@datapipeline.com,inactive  ,1990-09-21,山西省
78,费,冯,13286132259,ff@datapipeline.com,inactive  ,1984-04-18,河北省
79,文,乔,15210849421,wq@datapipeline.com,active    ,1989-01-06,北京市
80,楮,公湛,18410585635,cgz@datapipeline.com,current   ,1992-08-28,天津市
81,姬,范魏,15617907299,jfw@datapipeline.com,active    ,1991-08-26,河北省
82,宗,冉庞,13857275884,zrp@datapipeline.com,inactive  ,1980-04-25,天津市
83,段,麹,18168591734,dq@datapipeline.com,inactive  ,1988-11-22,北京市
84,史,空申,18892192450,sks@datapipeline.com,inactive  ,1996-12-09,山西省
85,郤,李冯,13890824506,xlf@datapipeline.com,inactive  ,1986-05-02,北京市
86,崔,梁,13782392286,cl@datapipeline.com,inactive  ,1995-06-05,天津市
87,季,廉广,18226284655,jlg@datapipeline.com,inactive  ,1988-06-23,北京市
88,浦,山,13434524752,ps@datapipeline.com,active    ,1987-12-19,河北省
89,巩,钮,15657995468,gn@datapipeline.com,inactive  ,1993-09-10,天津市
90,居,朱,18429212797,jz@datapipeline.com,inactive  ,1984-12-05,天津市
91,靳,桑,15765036277,js@datapipeline.com,inactive  ,1998-01-19,北京市
92,庄,陶,15233117232,zt@datapipeline.com,inactive  ,1980-05-09,山西省
93,印,宦,18723546837,yh@datapipeline.com,current   ,1996-11-11,河北省
94,栾,荣鲍,18692341485,lrb@datapipeline.com,inactive  ,1991-04-17,河北省
188,黄,牛逑,15886128104,hnq@datapipeline.com,current   ,1992-12-18,山西省
189,廖,张,18551518703,lz@datapipeline.com,inactive  ,1980-12-24,天津市
190,邢,古,13920544075,xg@datapipeline.com,inactive  ,1986-06-21,天津市
191,皮,裘堵,18143152136,pqd@datapipeline.com,active    ,1992-08-20,天津市
192,鱼,宰,13445779491,yz@datapipeline.com,inactive  ,1993-11-20,山西省
193,巴,石,18988873976,bs@datapipeline.com,inactive  ,1983-09-22,天津市
194,桓,华司,13348278059,hhs@datapipeline.com,inactive  ,1981-11-14,北京市
195,钮,谢,15730201811,nx@datapipeline.com,inactive  ,1996-03-25,天津市
196,卞,蔚宁,15315731060,bwn@datapipeline.com,active    ,1992-12-13,北京市
197,利,逑严,18217331425,lqy@datapipeline.com,inactive  ,1983-02-23,北京市
198,花,蓝,15752476386,hl@datapipeline.com,inactive  ,1992-05-06,山西省
199,胥,宫,18472743249,xg@datapipeline.com,inactive  ,1981-06-20,山西省
200,井,傅井,13387018000,jfj@datapipeline.com,inactive  ,1984-12-12,山西省
201,毋,松,18615483892,ws@datapipeline.com,current   ,1993-08-15,山西省
202,沃,莘梁,13738221857,wxl@datapipeline.com,active    ,1999-10-07,河北省
203,戴,姬,13325827265,dj@datapipeline.com,inactive  ,1994-05-19,天津市
204,司,娄马,15676794106,slm@datapipeline.com,inactive  ,1981-05-03,天津市
205,蔚,暨步,15826255364,wjb@datapipeline.com,current   ,1987-02-22,山西省
206,祖,薛宁,15297928019,zxn@datapipeline.com,current   ,1992-04-29,河北省
207,唐,全,18146531597,tq@datapipeline.com,inactive  ,1988-09-08,北京市
208,厉,方,13645957836,lf@datapipeline.com,active    ,1981-01-26,天津市
209,季,瞿,18132697541,jj@datapipeline.com,inactive  ,1990-11-25,山西省
210,逑,梅,18991063328,qm@datapipeline.com,current   ,1984-07-11,河北省
211,刘,尚,13826476071,ls@datapipeline.com,inactive  ,1994-07-06,北京市
212,高,蔚,18228083417,gw@datapipeline.com,inactive  ,1995-08-13,河北省
213,徐,斜,15661653923,xx@datapipeline.com,inactive  ,1984-04-02,山西省
214,郑,钮,15527013471,zn@datapipeline.com,inactive  ,1997-05-15,山西省
215,宗,段,18421154808,zd@datapipeline.com,inactive  ,1995-03-10,山西省
216,惠,王古,18211991953,hwg@datapipeline.com,inactive  ,1981-06-28,山西省
217,秋,常吴,15325217970,qcw@datapipeline.com,active    ,1999-06-06,河北省
218,万,朱,15212274721,wz@datapipeline.com,inactive  ,1986-07-02,山西省
219,冯,叶,18654159461,fy@datapipeline.com,active    ,1985-04-08,天津市
220,饶,关郁,13864762348,rgy@datapipeline.com,active    ,1987-11-26,天津市
221,费,乌,18286798360,fw@datapipeline.com,inactive  ,1986-12-11,山西省
222,巴,祖,15371639577,bz@datapipeline.com,current   ,1991-03-10,天津市
223,翟,简袁,18268359033,zjy@datapipeline.com,inactive  ,1988-05-28,河北省
224,封,徐,18453233127,fx@datapipeline.com,active    ,1996-09-30,山西省
225,戎,匡简,15645739715,rkj@datapipeline.com,inactive  ,1980-09-10,山西省
226,贡,钮,18227063354,gn@datapipeline.com,inactive  ,1985-06-22,河北省
227,魏,舒简,15130955092,wsj@datapipeline.com,inactive  ,1996-07-02,河北省
228,马,印,18658654348,my@datapipeline.com,inactive  ,1993-08-25,山西省
229,卫,傅魏,18668579377,wfw@datapipeline.com,current   ,1995-10-28,北京市
230,班,乌,13925094198,bw@datapipeline.com,active    ,1984-06-14,河北省
231,羿,封,13910689395,yf@datapipeline.com,inactive  ,1997-06-09,北京市
232,井,牛,13487056287,jn@datapipeline.com,inactive  ,1996-11-10,北京市
233,籍,桓,13432198341,jh@datapipeline.com,current   ,1995-03-05,山西省
234,厍,李,13370282906,sl@datapipeline.com,active    ,1986-11-16,天津市
235,索,浦,18492071248,sp@datapipeline.com,active    ,1999-01-28,山西省
236,安,贝,13694056148,ab@datapipeline.com,inactive  ,1981-04-23,河北省
237,燕,庄阙,13772539737,yzq@datapipeline.com,active    ,1993-08-11,天津市
238,祁,束,18110821218,qs@datapipeline.com,active    ,1987-06-23,北京市
239,李,蒋游,18962206335,ljy@datapipeline.com,inactive  ,1986-12-10,山西省
240,暨,祝,15352625691,jz@datapipeline.com,inactive  ,1991-11-08,天津市
241,樊,缪,15135083189,fm@datapipeline.com,current   ,1986-02-26,河北省
242,贾,双桑,18751418887,jss@datapipeline.com,active    ,1980-11-03,山西省
243,盖,栾皮,18118625909,glp@datapipeline.com,inactive  ,1986-09-29,河北省
244,洪,冀,15330254948,hj@datapipeline.com,inactive  ,1983-12-13,山西省
245,湛,堵,13979238450,zd@datapipeline.com,inactive  ,1990-04-22,天津市
246,甄,巩,18456458758,zg@datapipeline.com,inactive  ,1997-08-09,河北省
247,封,邹奚,15197968503,fzx@datapipeline.com,active    ,1993-02-22,山西省
248,强,池,13742711313,qc@datapipeline.com,inactive  ,1992-03-21,河北省
249,许,尹,13898346723,xy@datapipeline.com,inactive  ,1983-10-05,山西省
250,沙,成,13215827408,sc@datapipeline.com,active    ,1999-06-08,天津市
251,幸,祖岑,15234336641,xzc@datapipeline.com,active    ,1982-07-21,天津市
252,蒲,向逄,18176934977,pxp@datapipeline.com,active    ,1995-08-26,山西省
253,范,廖龚,13437517269,flg@datapipeline.com,current   ,1993-04-26,天津市
254,余,尚袁,18899341979,ysy@datapipeline.com,active    ,1984-03-28,北京市
255,叶,池江,15633825452,ycj@datapipeline.com,current   ,1981-08-26,天津市
256,钮,扈,18184661544,nh@datapipeline.com,inactive  ,1988-08-18,天津市
257,薛,韩,18667042557,xh@datapipeline.com,current   ,1993-01-26,天津市
258,莫,瞿,13614614808,mj@datapipeline.com,current   ,1983-03-21,山西省
259,史,邓,15383939755,sd@datapipeline.com,inactive  ,1982-09-20,天津市
260,诸,宿,13931593894,zs@datapipeline.com,inactive  ,1991-10-22,北京市
261,乌,祝阙,18125242717,wzq@datapipeline.com,inactive  ,1984-01-07,河北省
262,康,寇,18533471060,kk@datapipeline.com,current   ,1994-01-22,北京市
263,叶,项,18472422074,yx@datapipeline.com,current   ,1984-02-20,天津市
264,关,钮蒲,15264882607,gnp@datapipeline.com,current   ,1980-06-13,河北省
265,别,熊庄,15920708920,bxz@datapipeline.com,current   ,1987-08-06,北京市
266,韶,那谈,13949783625,snt@datapipeline.com,inactive  ,1983-02-24,天津市
267,咸,吴,18556222892,xw@datapipeline.com,inactive  ,1991-10-04,河北省
268,米,缪,15255843333,mm@datapipeline.com,inactive  ,1989-12-24,山西省
269,终,夔喻,18631625606,zky@datapipeline.com,active    ,1986-09-20,北京市
270,阴,阎齐,15391232750,yyq@datapipeline.com,inactive  ,1991-08-19,北京市
271,堵,骆濮,18567485483,dlp@datapipeline.com,inactive  ,1982-09-05,天津市
